@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute classes {0,1,}
@data
3.0,17.0,1.0,0
20.0,42.0,12.0,0
4.0,5.0,0.0,0
0.0,2.0,3.0,0
66.0,297.0,68.0,0
47.0,68.0,21.0,0
10.0,5.0,4.0,0
0.0,7.0,0.0,0
25.0,202.0,27.0,0
40.0,37.0,3.0,0
33.0,68.0,17.0,0
2.0,19.0,0.0,0
3.0,49.0,11.0,0
11.0,86.0,194.0,0
94.0,381.0,431.0,0
0.0,5.0,5.0,0
0.0,11.0,0.0,0
2.0,0.0,6.0,0
167.0,292.0,72.0,0
2.0,11.0,5.0,0
0.0,23.0,0.0,0
6.0,117.0,2.0,0
93.0,269.0,74.0,0
2.0,10.0,7.0,0
6.0,2.0,2.0,0
6.0,26.0,6.0,0
14.0,11.0,2.0,0
21.0,5.0,0.0,0
6.0,56.0,8.0,0
6.0,14.0,1.0,0
3.0,22.0,10.0,0
30.0,71.0,15.0,0
15.0,53.0,20.0,0
7.0,23.0,13.0,0
65.0,186.0,110.0,0
0.0,18.0,14.0,0
88.0,248.0,137.0,0
2.0,3.0,9.0,0
6.0,30.0,7.0,0
1.0,5.0,0.0,0
0.0,2.0,2.0,0
35.0,181.0,64.0,0
27.0,44.0,34.0,0
1.0,2.0,15.0,0
7.0,11.0,2.0,0
0.0,7.0,17.0,0
61.0,292.0,58.0,0
12.0,14.0,6.0,0
11.0,18.0,8.0,0
6.0,40.0,2.0,0
3.0,14.0,7.0,0
0.0,2.0,7.0,0
0.0,4.0,0.0,0
4.0,7.0,10.0,0
3.0,24.0,14.0,0
0.0,2.0,6.0,0
0.0,2.0,1.0,0
3.0,10.0,7.0,0
19.0,52.0,31.0,0
11.0,26.0,8.0,0
5.0,62.0,12.0,0
0.0,10.0,3.0,0
1.0,3.0,3.0,0
71.0,173.0,51.0,0
9.0,23.0,7.0,0
3.0,5.0,7.0,0
23.0,15.0,14.0,0
5.0,6.0,2.0,0
12.0,386.0,228.0,0
2.0,4.0,14.0,0
6.0,21.0,14.0,0
4.0,5.0,3.0,0
3.0,13.0,1.0,0
4.0,4.0,0.0,0
10.0,6.0,0.0,0
1.0,34.0,1.0,0
36.0,79.0,29.0,0
8.0,11.0,18.0,0
24.0,75.0,3.0,0
18.0,43.0,12.0,0
17.0,119.0,52.0,0
20.0,116.0,8.0,0
1.0,0.0,0.0,0
9.0,6.0,9.0,0
2.0,6.0,20.0,0
2.0,6.0,5.0,0
3.0,5.0,7.0,0
25.0,95.0,90.0,0
0.0,2.0,0.0,0
0.0,2.0,0.0,0
4.0,42.0,22.0,0
60.0,207.0,52.0,0
22.0,38.0,9.0,0
1.0,1.0,0.0,0
7.0,5.0,60.0,0
25.0,115.0,36.0,0
342.0,646.0,317.0,0
7.0,2.0,2.0,0
17.0,42.0,7.0,0
1.0,9.0,8.0,0
0.0,1.0,0.0,0
15.0,11.0,11.0,0
34.0,133.0,53.0,0
9.0,3.0,11.0,0
228.0,316.0,161.0,0
9.0,5.0,0.0,0
0.0,9.0,0.0,0
25.0,16.0,5.0,0
57.0,178.0,115.0,0
0.0,3.0,0.0,0
36.0,167.0,50.0,0
11.0,3.0,3.0,0
343.0,364.0,274.0,0
11.0,8.0,4.0,0
2.0,2.0,1.0,0
9.0,28.0,30.0,0
0.0,14.0,1.0,0
49.0,217.0,277.0,0
24.0,119.0,17.0,0
23.0,276.0,393.0,0
12.0,19.0,2.0,0
44.0,111.0,28.0,0
3.0,8.0,22.0,0
1.0,3.0,4.0,0
7.0,43.0,33.0,0
4.0,4.0,4.0,0
7.0,19.0,6.0,0
4.0,6.0,0.0,0
0.0,4.0,1.0,0
4.0,6.0,7.0,0
11.0,95.0,21.0,0
3.0,30.0,13.0,0
15.0,40.0,19.0,0
15.0,56.0,60.0,0
15.0,2.0,5.0,0
6.0,9.0,14.0,0
2.0,1.0,6.0,0
21.0,19.0,2.0,0
3.0,2.0,2.0,0
8.0,5.0,5.0,0
2.0,22.0,4.0,0
174.0,443.0,213.0,0
0.0,8.0,2.0,0
70.0,92.0,71.0,0
4.0,9.0,0.0,0
86.0,74.0,58.0,0
6.0,4.0,0.0,0
1.0,2.0,21.0,0
1.0,7.0,0.0,0
0.0,6.0,4.0,0
0.0,7.0,0.0,0
7.0,23.0,2.0,0
11.0,55.0,13.0,0
165.0,257.0,156.0,0
1.0,9.0,10.0,0
15.0,109.0,84.0,0
14.0,9.0,4.0,0
0.0,1.0,2.0,0
12.0,10.0,2.0,0
7.0,2.0,3.0,0
7.0,63.0,4.0,0
9.0,2.0,1.0,0
12.0,8.0,9.0,0
81.0,320.0,105.0,0
11.0,25.0,2.0,0
0.0,4.0,0.0,0
3.0,21.0,83.0,0
0.0,1.0,1.0,0
9.0,37.0,26.0,0
29.0,152.0,57.0,0
13.0,49.0,38.0,0
0.0,45.0,1.0,0
37.0,140.0,8.0,0
27.0,125.0,93.0,0
5.0,28.0,6.0,0
3.0,7.0,4.0,0
80.0,28.0,67.0,0
4.0,3.0,1.0,0
9.0,8.0,11.0,0
11.0,7.0,8.0,0
2.0,5.0,6.0,0
1.0,8.0,10.0,0
1.0,2.0,0.0,0
9.0,21.0,47.0,0
11.0,20.0,10.0,0
77.0,113.0,61.0,0
44.0,57.0,42.0,0
49.0,107.0,107.0,0
39.0,0.0,23.0,0
67.0,211.0,57.0,0
57.0,67.0,42.0,0
10.0,5.0,5.0,0
20.0,16.0,9.0,0
5.0,6.0,1.0,0
13.0,44.0,50.0,0
18.0,36.0,9.0,0
86.0,204.0,76.0,0
66.0,49.0,33.0,0
0.0,37.0,0.0,0
45.0,33.0,38.0,0
18.0,198.0,19.0,0
11.0,3.0,0.0,0
248.0,263.0,111.0,0
4.0,12.0,8.0,0
79.0,249.0,57.0,0
0.0,14.0,3.0,0
66.0,103.0,100.0,0
1.0,3.0,8.0,0
4.0,12.0,21.0,0
1.0,2.0,7.0,0
85.0,202.0,60.0,0
10.0,13.0,13.0,0
131.0,107.0,14.0,0
0.0,18.0,2.0,0
6.0,61.0,20.0,0
162.0,241.0,201.0,0
9.0,2.0,1.0,0
59.0,18.0,19.0,0
472.0,1020.0,839.0,0
15.0,38.0,11.0,0
61.0,243.0,63.0,0
9.0,12.0,38.0,0
21.0,35.0,50.0,0
0.0,6.0,0.0,0
9.0,6.0,10.0,0
1.0,18.0,3.0,0
12.0,11.0,2.0,0
5.0,6.0,0.0,0
3.0,27.0,6.0,0
201.0,586.0,301.0,0
14.0,20.0,43.0,0
4.0,11.0,6.0,0
5.0,10.0,2.0,0
2.0,3.0,0.0,0
1.0,45.0,10.0,0
8.0,9.0,10.0,0
45.0,24.0,14.0,0
0.0,16.0,0.0,0
1.0,5.0,2.0,0
