@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute classes {0,1,}
@data
48.0,5.0,10.0,0
73.0,3.0,19.0,0
4.0,0.0,3.0,0
3.0,1.0,3.0,0
9.0,0.0,1.0,0
34.0,20.0,36.0,0
29.0,4.0,22.0,0
28.0,9.0,30.0,0
3.0,19.0,16.0,0
11.0,23.0,11.0,0
9.0,15.0,3.0,0
56.0,31.0,23.0,0
5.0,25.0,0.0,0
1.0,0.0,0.0,0
33.0,29.0,12.0,0
18.0,26.0,16.0,0
15.0,4.0,4.0,0
77.0,71.0,26.0,0
6.0,1.0,0.0,0
9.0,1.0,8.0,0
2.0,0.0,7.0,0
5.0,0.0,0.0,0
2.0,7.0,2.0,0
8.0,0.0,1.0,0
1.0,3.0,0.0,0
316.0,77.0,75.0,0
53.0,30.0,24.0,0
29.0,4.0,13.0,0
23.0,0.0,0.0,0
116.0,50.0,20.0,0
55.0,46.0,42.0,0
109.0,19.0,70.0,0
22.0,16.0,13.0,0
9.0,9.0,3.0,0
6.0,2.0,0.0,0
280.0,133.0,189.0,0
40.0,7.0,33.0,0
3.0,6.0,13.0,0
64.0,59.0,43.0,0
14.0,8.0,1.0,0
4.0,4.0,1.0,0
14.0,40.0,16.0,0
633.0,526.0,444.0,0
29.0,19.0,17.0,0
114.0,10.0,9.0,0
1.0,0.0,0.0,0
42.0,13.0,4.0,0
11.0,33.0,4.0,0
223.0,38.0,45.0,0
10.0,0.0,5.0,0
5.0,3.0,0.0,0
276.0,26.0,390.0,0
12.0,9.0,38.0,0
8.0,0.0,2.0,0
17.0,1.0,97.0,0
17.0,25.0,13.0,0
2.0,0.0,4.0,0
44.0,23.0,29.0,0
4.0,1.0,0.0,0
6.0,2.0,20.0,0
5.0,7.0,6.0,0
21.0,14.0,6.0,0
23.0,0.0,1.0,0
3.0,2.0,0.0,0
9.0,3.0,2.0,0
3.0,3.0,7.0,0
10.0,0.0,2.0,0
152.0,49.0,94.0,0
4.0,10.0,1.0,0
2.0,6.0,2.0,0
3.0,21.0,13.0,0
128.0,114.0,208.0,0
3.0,3.0,3.0,0
2.0,0.0,1.0,0
40.0,57.0,74.0,0
12.0,5.0,0.0,0
6.0,32.0,5.0,0
4.0,8.0,3.0,0
3.0,0.0,0.0,0
20.0,10.0,46.0,0
31.0,11.0,32.0,0
4.0,8.0,4.0,0
12.0,6.0,10.0,0
48.0,30.0,54.0,0
38.0,31.0,59.0,0
162.0,60.0,160.0,0
2.0,1.0,5.0,0
6.0,11.0,7.0,0
6.0,0.0,0.0,0
85.0,31.0,49.0,0
7.0,3.0,3.0,0
123.0,6.0,18.0,0
5.0,1.0,0.0,0
113.0,47.0,49.0,0
53.0,15.0,4.0,0
1.0,1.0,1.0,0
10.0,7.0,2.0,0
12.0,7.0,54.0,0
13.0,2.0,1.0,0
207.0,60.0,52.0,0
57.0,19.0,4.0,0
47.0,10.0,10.0,0
3.0,1.0,6.0,0
2.0,8.0,1.0,0
28.0,94.0,0.0,0
12.0,3.0,3.0,0
2.0,5.0,1.0,0
28.0,1.0,5.0,0
27.0,8.0,4.0,0
15.0,2.0,0.0,0
4.0,0.0,4.0,0
6.0,21.0,18.0,0
51.0,46.0,100.0,0
8.0,12.0,9.0,0
2.0,0.0,0.0,0
15.0,10.0,45.0,0
52.0,42.0,27.0,0
55.0,5.0,2.0,0
19.0,12.0,2.0,0
29.0,40.0,32.0,0
12.0,6.0,8.0,0
9.0,13.0,20.0,0
3.0,2.0,0.0,0
2.0,4.0,0.0,0
2.0,0.0,0.0,0
4.0,13.0,110.0,0
204.0,85.0,58.0,0
7.0,1.0,0.0,0
5.0,0.0,0.0,0
4.0,0.0,0.0,0
6.0,2.0,9.0,0
8.0,17.0,3.0,0
7.0,0.0,1.0,0
